species,datafile,partner,Tk_K,upper_id,upper_group,upper_label,upper_qn_json,E_u_K,g_u,A_tot_s-1,gamma_tot_cm3_s-1,ncrit_cm-3,n_rad_branches,n_coll_branches,data_mode,is_hfs_resolved,is_collision_hfs_resolved,is_collision_approximate,warnings
CN,cn-hfs.dat,p-H2,5.0,50,N=9,"N=9,J=8.5,F=7.5","{""F"": 7.5, ""J"": 8.5, ""N"": 9}",244.7497590357192,16.0,0.012271263000000001,9.274413304175359e-11,132313091.91790551,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,51,N=9,"N=9,J=8.5,F=8.5","{""F"": 8.5, ""J"": 8.5, ""N"": 9}",244.75047842415768,18.0,0.012248895000000001,9.305296627639547e-11,131633579.13402863,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,52,N=9,"N=9,J=8.5,F=9.5","{""F"": 9.5, ""J"": 8.5, ""N"": 9}",244.7513416902839,20.0,0.012280221000000001,9.272296988770575e-11,132439901.51385617,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,53,N=9,"N=9,J=9.5,F=10.5","{""F"": 10.5, ""J"": 9.5, ""N"": 9}",244.8490346402322,22.0,0.0123,9.261578447663699e-11,132806735.58515035,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,54,N=9,"N=9,J=9.5,F=9.5","{""F"": 9.5, ""J"": 9.5, ""N"": 9}",244.8497540286707,20.0,0.012336000000000001,9.291520186789925e-11,132766218.57356042,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,55,N=9,"N=9,J=9.5,F=8.5","{""F"": 8.5, ""J"": 9.5, ""N"": 9}",244.8506172947969,18.0,0.012351419,9.26746673052992e-11,133277187.38186114,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,56,N=10,"N=10,J=9.5,F=8.5","{""F"": 8.5, ""J"": 9.5, ""N"": 10}",299.1247341597417,18.0,0.01689696,1.0749546461008106e-10,157187654.95168045,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,57,N=10,"N=10,J=9.5,F=9.5","{""F"": 9.5, ""J"": 9.5, ""N"": 10}",299.1254535481802,20.0,0.016975696999999998,1.0767643809817332e-10,157654704.2215727,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,58,N=10,"N=10,J=9.5,F=10.5","{""F"": 10.5, ""J"": 9.5, ""N"": 10}",299.1264606919941,22.0,0.016989037,1.07408691268631e-10,158171902.09971112,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,59,N=10,"N=10,J=10.5,F=11.5","{""F"": 11.5, ""J"": 10.5, ""N"": 10}",299.23451283545677,24.0,0.017,1.0733051458754293e-10,158389252.72396922,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,60,N=10,"N=10,J=10.5,F=10.5","{""F"": 10.5, ""J"": 10.5, ""N"": 10}",299.2352322238953,22.0,0.016954,1.0755863600757123e-10,157625650.80135992,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,61,N=10,"N=10,J=10.5,F=9.5","{""F"": 9.5, ""J"": 10.5, ""N"": 10}",299.2360954900215,20.0,0.016969382999999998,1.0738079718244123e-10,158029959.2223069,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,62,N=11,"N=11,J=10.5,F=9.5","{""F"": 9.5, ""J"": 10.5, ""N"": 11}",358.9292215844991,20.0,0.022622695,1.0648689302730481e-10,212445817.10351157,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,63,N=11,"N=11,J=10.5,F=10.5","{""F"": 10.5, ""J"": 10.5, ""N"": 11}",358.9300848506253,22.0,0.022602433,1.0674260285214452e-10,211747066.27032474,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,64,N=11,"N=11,J=10.5,F=11.5","{""F"": 11.5, ""J"": 10.5, ""N"": 11}",358.9309481167515,24.0,0.022597766,1.0649324567435398e-10,212199054.0987151,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,65,N=11,"N=11,J=11.5,F=12.5","{""F"": 12.5, ""J"": 11.5, ""N"": 11}",359.0495033314163,26.0,0.0227,1.0637114980163251e-10,213403728.7585249,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,66,N=11,"N=11,J=11.5,F=11.5","{""F"": 11.5, ""J"": 11.5, ""N"": 11}",359.0502227198548,24.0,0.022671,1.0663188931153904e-10,212609943.8580114,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,67,N=11,"N=11,J=11.5,F=10.5","{""F"": 10.5, ""J"": 11.5, ""N"": 11}",359.051085985981,22.0,0.022687353,1.0648926372241054e-10,213048266.1532899,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
